year,bill,latest_update_chamber,latest_update_text,gold,predicted
2025,HB1006 HD2 SD1,S,"Report Adopted; Passed Third Reading. Ayes, 22; Aye(s) with reservations: none.  Noes, 3 (Senator(s) Awa, DeCorte, Fevella).  Excused, 0 (none).  Transmitted to House.",conferenceDeferred,crossoverWaiting1
2025,HB1012,H,"Referred to WAL, FIN, referral sheet 3",introduced,introduced
2025,HB1013 HD1,H,Passed Second Reading as amended in HD 1 and referred to the committee(s) on AGR with none voting aye with reservations; none voting no (0) and Representative(s) Ward excused (1).,waiting3,waiting3
2025,HB1016,H,Introduced and Pass First Reading.,introduced,introduced
2025,HB1017 HD1 SD1,H,"Act 048, on 05/14/2025 (Gov. Msg. No. 1148).",governorSigns,governorSigns
2025,HB1060 HD1,H,"Bill scheduled for decision making on Wednesday, 02-12-25 11:00AM in conference room 411 VIA VIDEOCONFERENCE.",crossoverWaiting2,waiting2
2025,HB1075 HD1,H,"Bill scheduled to be heard by EDN on Tuesday, 02-11-25 2:01PM in House conference room 309 VIA VIDEOCONFERENCE.",waiting2,waiting2
2025,HB1076 HD1,H,"The committee on EEP recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 5 Ayes: Representative(s) Lowen, Perruso, Kahaloa, Kusch, Quinlan; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward.",waiting2,waiting2
2025,HB1077 HD2,H,"Bill scheduled to be heard by ECD/TOU on Wednesday, 02-12-25 10:15AM in House conference room 423 VIA VIDEOCONFERENCE.",scheduled1,waiting3
2025,HB109,H,"Referred to EEP, CPC, FIN, referral sheet 1",introduced,introduced
2025,HB1099 HD1 SD1 CD1,S,Received notice of passage on Final Reading in House (Hse. Com. No. 821).,governorSigns,governorSigns
2025,HB110 HD1 SD2,S,"Act 137, 05/30/2025 (Gov. Msg. No. 1237).",governorSigns,governorSigns
2025,HB1141 HD1 SD2,H,Returned from Senate (Sen. Com. No.  733) in amended form (SD 2).,waiting2,crossoverWaiting1
2025,HB1149 HD1,S,Received from House (Hse. Com. No. 336).,crossoverDeferred1,crossoverDeferred1
2025,HB1184 HD1,H,"Reported from AGR (Stand. Com. Rep. No. 192) as amended in HD 1, recommending passage on Second Reading and referral to HED.",waiting2,waiting2
2025,HB1230,H,"Referred to EEP, WAL, JHA, referral sheet 4",introduced,introduced
2025,HB1237 HD1 SD1,S,"Referred to AEN, WAM.",crossoverWaiting2,crossoverWaiting2
2025,HB1249,H,"Referred to EDN, PBS, FIN, referral sheet 4",introduced,introduced
2025,HB1284,H,"Referred to AGR, CPC, FIN, referral sheet 4",introduced,introduced
2025,HB1285,H,"Referred to AGR, CPC, referral sheet 4",introduced,introduced
2025,HB1291 HD2 SD1 CD1,S,"Act 126, 05/29/2025 (Gov. Msg. No. 1226).",governorSigns,governorSigns
2025,HB1293 HD2 SD2 CD1,S,"Act 134, 05/30/2025 (Gov. Msg. No. 1234).",governorSigns,governorSigns
2025,HB1294 HD2 SD1,H,Returned from Senate (Sen. Com. No.  753) in amended form (SD 1).,conferenceDeferred,conferenceScheduled
2025,HB1310,H,"Referred to AGR/ECD, LAB, FIN, referral sheet 4",introduced,introduced
2025,HB1323 HD1,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on WAL with Representative(s) Amato, Lowen, Perruso voting aye with reservations; none voting no (0) and Representative(s) Cochran, Kong, Ward excused (3).",waiting3,waiting3
2025,HB1334 HD3 SD1,S,Received from House (Hse. Com. No. 357).,waiting3,crossoverWaiting2
2025,HB1337 HD1,S,Passed First Reading.,crossoverDeferred1,crossoverDeferred1
2025,HB1339,H,"Referred to ECD, FIN, referral sheet 4",introduced,introduced
2025,HB1347,H,"Referred to WAL, JHA, FIN, referral sheet 4",introduced,introduced
2025,HB1365 HD2 SD2 CD1,S,"Act 186, 06/06/2025 (Gov. Msg. No. 1286).",governorSigns,governorSigns
2025,HB1366,H,"Referred to EEP/WAL, FIN, referral sheet 4",introduced,introduced
2025,HB1375,H,"Referred to EEP/AGR, ECD, FIN, referral sheet 4",introduced,introduced
2025,HB1380,H,"Referred to CPC, FIN, referral sheet 4",introduced,introduced
2025,HB1393 HD1,H,"The committee on AGR recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 5 Ayes: Representative(s) Kahaloa, Kusch, Lowen, Perruso, Quinlan; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward.",waiting2,waiting2
2025,HB1417 HD1,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Matayoshi, Poepoe, Ward excused (4).",waiting2,waiting2
2025,HB1427 HD1 SD1,S,"Report Adopted; Passed Third Reading. Ayes, 23; Aye(s) with reservations: Senator(s) DeCoite, Richards.  Noes, 2 (Senator(s) Awa, DeCorte).  Excused, 0 (none).  Transmitted to House.",passedCommittees,conferenceAssigned
2025,HB1449 HD2 SD1,S,"Referred to AEN, WAM.",crossoverWaiting2,crossoverWaiting2
2025,HB1450 HD2 SD1,S,Received notice of disagreement (Hse. Com. No. 559).,conferenceAssigned,conferenceAssigned
2025,HB1456,H,"Referred to EEP, ECD, FIN, referral sheet 4",introduced,introduced
2025,HB1468,H,"Referred to CPC, JHA, referral sheet 4",introduced,introduced
2025,HB1497 HD1 SD1,S,The committee(s) on AEN has scheduled a public hearing on 03-10-25 1:01PM; Conference Room 224 & Videoconference.,crossoverWaiting2,crossoverWaiting2
2025,HB1500 HD1,H,"Bill scheduled to be heard by EDN on Tuesday, 02-11-25 2:01PM in House conference room 309 VIA VIDEOCONFERENCE.",waiting2,waiting2
