year,bill,bill_status_id,latest_update_chamber,latest_update_text
2025,HB1006 HD2 SD1,conferenceDeferred,S,"Report Adopted; Passed Third Reading. Ayes, 22; Aye(s) with reservations: none.  Noes, 3 (Senator(s) Awa, DeCorte, Fevella).  Excused, 0 (none).  Transmitted to House."
2025,HB1012,introduced,H,"Referred to WAL, FIN, referral sheet 3"
2025,HB1013 HD1,waiting3,H,Passed Second Reading as amended in HD 1 and referred to the committee(s) on AGR with none voting aye with reservations; none voting no (0) and Representative(s) Ward excused (1).
2025,HB1016,introduced,H,Introduced and Pass First Reading.
2025,HB1017 HD1 SD1,governorSigns,H,"Act 048, on 05/14/2025 (Gov. Msg. No. 1148)."
2025,HB1060 HD1,crossoverWaiting2,H,"Bill scheduled for decision making on Wednesday, 02-12-25 11:00AM in conference room 411 VIA VIDEOCONFERENCE."
2025,HB1075 HD1,waiting2,H,"Bill scheduled to be heard by EDN on Tuesday, 02-11-25 2:01PM in House conference room 309 VIA VIDEOCONFERENCE."
2025,HB1076 HD1,waiting2,H,"The committee on EEP recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 5 Ayes: Representative(s) Lowen, Perruso, Kahaloa, Kusch, Quinlan; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward."
2025,HB1077 HD2,scheduled1,H,"Bill scheduled to be heard by ECD/TOU on Wednesday, 02-12-25 10:15AM in House conference room 423 VIA VIDEOCONFERENCE."
2025,HB109,introduced,H,"Referred to EEP, CPC, FIN, referral sheet 1"
2025,HB1099 HD1 SD1 CD1,governorSigns,S,Received notice of passage on Final Reading in House (Hse. Com. No. 821).
2025,HB110 HD1 SD2,governorSigns,S,"Act 137, 05/30/2025 (Gov. Msg. No. 1237)."
2025,HB1141 HD1 SD2,waiting2,H,Returned from Senate (Sen. Com. No.  733) in amended form (SD 2).
2025,HB1149 HD1,crossoverDeferred1,S,Received from House (Hse. Com. No. 336).
2025,HB1184 HD1,waiting2,H,"Reported from AGR (Stand. Com. Rep. No. 192) as amended in HD 1, recommending passage on Second Reading and referral to HED."
2025,HB1230,introduced,H,"Referred to EEP, WAL, JHA, referral sheet 4"
2025,HB1237 HD1 SD1,crossoverWaiting2,S,"Referred to AEN, WAM."
2025,HB1249,introduced,H,"Referred to EDN, PBS, FIN, referral sheet 4"
2025,HB1284,introduced,H,"Referred to AGR, CPC, FIN, referral sheet 4"
2025,HB1285,introduced,H,"Referred to AGR, CPC, referral sheet 4"
2025,HB1291 HD2 SD1 CD1,governorSigns,S,"Act 126, 05/29/2025 (Gov. Msg. No. 1226)."
2025,HB1293 HD2 SD2 CD1,governorSigns,S,"Act 134, 05/30/2025 (Gov. Msg. No. 1234)."
2025,HB1294 HD2 SD1,conferenceDeferred,H,Returned from Senate (Sen. Com. No.  753) in amended form (SD 1).
2025,HB1310,introduced,H,"Referred to AGR/ECD, LAB, FIN, referral sheet 4"
2025,HB1323 HD1,waiting3,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on WAL with Representative(s) Amato, Lowen, Perruso voting aye with reservations; none voting no (0) and Representative(s) Cochran, Kong, Ward excused (3)."
2025,HB1334 HD3 SD1,waiting3,S,Received from House (Hse. Com. No. 357).
2025,HB1337 HD1,crossoverDeferred1,S,Passed First Reading.
2025,HB1339,introduced,H,"Referred to ECD, FIN, referral sheet 4"
2025,HB1347,introduced,H,"Referred to WAL, JHA, FIN, referral sheet 4"
2025,HB1365 HD2 SD2 CD1,governorSigns,S,"Act 186, 06/06/2025 (Gov. Msg. No. 1286)."
2025,HB1366,introduced,H,"Referred to EEP/WAL, FIN, referral sheet 4"
2025,HB1375,introduced,H,"Referred to EEP/AGR, ECD, FIN, referral sheet 4"
2025,HB1380,introduced,H,"Referred to CPC, FIN, referral sheet 4"
2025,HB1393 HD1,waiting2,H,"The committee on AGR recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 5 Ayes: Representative(s) Kahaloa, Kusch, Lowen, Perruso, Quinlan; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward."
2025,HB1417 HD1,waiting2,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Matayoshi, Poepoe, Ward excused (4)."
2025,HB1427 HD1 SD1,passedCommittees,S,"Report Adopted; Passed Third Reading. Ayes, 23; Aye(s) with reservations: Senator(s) DeCoite, Richards.  Noes, 2 (Senator(s) Awa, DeCorte).  Excused, 0 (none).  Transmitted to House."
2025,HB1449 HD2 SD1,crossoverWaiting2,S,"Referred to AEN, WAM."
2025,HB1450 HD2 SD1,conferenceAssigned,S,Received notice of disagreement (Hse. Com. No. 559).
2025,HB1456,introduced,H,"Referred to EEP, ECD, FIN, referral sheet 4"
2025,HB1468,introduced,H,"Referred to CPC, JHA, referral sheet 4"
